implementation,seq_len,actual_input_len,batch_size,max_new_tokens,median_latency_s,median_tokens_per_sec,median_ttft_s,median_peak_memory_mb,num_runs
eager,512,512,1,128,0.9445,135.53,0.0461,726.26,5
eager,512,512,2,128,1.1648,219.79,0.0919,810.79,5
eager,512,512,4,128,1.5455,331.29,0.1768,979.83,5
eager,1024,1024,1,128,1.1718,109.24,0.1257,875.79,5
eager,1024,1024,2,128,1.5898,161.03,0.2459,1109.83,5
eager,1024,1024,4,128,2.4438,209.51,0.4904,1577.91,5
sdpa,512,512,1,128,0.9253,138.33,0.0302,718.89,5
sdpa,512,512,2,128,1.139,224.77,0.0583,764.74,5
sdpa,512,512,4,128,1.5436,331.69,0.1111,887.58,5
sdpa,1024,1024,1,128,1.0753,119.03,0.0603,761.79,5
sdpa,1024,1024,2,128,1.4856,172.32,0.1152,881.83,5
sdpa,1024,1024,4,128,2.2383,228.74,0.227,1121.91,5
