implementation,seq_len,batch_size,run,latency_s,ttft_s,peak_memory_mb
eager,512,1,1,0.9441,0.0455,726.26
eager,512,1,2,0.9445,0.0462,726.26
eager,512,1,3,0.9432,0.0461,726.26
eager,512,1,4,0.9479,0.0461,726.26
eager,512,1,5,0.9449,0.0461,726.26
eager,512,2,1,1.1648,0.0907,810.78
eager,512,2,2,1.1642,0.0918,810.79
eager,512,2,3,1.1629,0.0922,810.79
eager,512,2,4,1.1689,0.0924,810.79
eager,512,2,5,1.168,0.0919,810.79
eager,512,4,1,1.546,0.1757,979.81
eager,512,4,2,1.5445,0.1767,979.83
eager,512,4,3,1.5479,0.1768,979.83
eager,512,4,4,1.5448,0.1768,979.83
eager,512,4,5,1.5455,0.1769,979.83
eager,1024,1,1,1.174,0.1254,875.78
eager,1024,1,2,1.1717,0.1257,875.79
eager,1024,1,3,1.1718,0.1258,875.79
eager,1024,1,4,1.1716,0.1257,875.79
eager,1024,1,5,1.1724,0.1258,875.79
eager,1024,2,1,1.5866,0.2451,1109.81
eager,1024,2,2,1.5856,0.2459,1109.83
eager,1024,2,3,1.5906,0.246,1109.83
eager,1024,2,4,1.5898,0.246,1109.83
eager,1024,2,5,1.5918,0.2458,1109.83
eager,1024,4,1,2.3946,0.4894,1577.87
eager,1024,4,2,2.4642,0.4906,1577.91
eager,1024,4,3,2.4756,0.4904,1577.91
eager,1024,4,4,2.4438,0.4903,1577.91
eager,1024,4,5,2.4217,0.4904,1577.91
sdpa,512,1,1,0.9286,0.0292,718.88
sdpa,512,1,2,0.9242,0.0295,718.89
sdpa,512,1,3,0.9245,0.0302,718.89
sdpa,512,1,4,0.9263,0.0305,718.89
sdpa,512,1,5,0.9253,0.0305,718.89
sdpa,512,2,1,1.1401,0.0572,764.73
sdpa,512,2,2,1.1387,0.0583,764.74
sdpa,512,2,3,1.139,0.0583,764.74
sdpa,512,2,4,1.1385,0.0584,764.74
sdpa,512,2,5,1.139,0.0584,764.74
sdpa,512,4,1,1.5468,0.1087,887.56
sdpa,512,4,2,1.5418,0.1115,887.58
sdpa,512,4,3,1.5449,0.112,887.58
sdpa,512,4,4,1.5411,0.111,887.58
sdpa,512,4,5,1.5436,0.1111,887.58
sdpa,1024,1,1,1.0767,0.0589,761.78
sdpa,1024,1,2,1.0747,0.0601,761.79
sdpa,1024,1,3,1.0764,0.0605,761.79
sdpa,1024,1,4,1.0751,0.0605,761.79
sdpa,1024,1,5,1.0753,0.0603,761.79
sdpa,1024,2,1,1.4864,0.1125,881.81
sdpa,1024,2,2,1.4856,0.1152,881.83
sdpa,1024,2,3,1.4843,0.1152,881.83
sdpa,1024,2,4,1.4849,0.1153,881.83
sdpa,1024,2,5,1.4867,0.115,881.83
sdpa,1024,4,1,2.2385,0.2263,1121.87
sdpa,1024,4,2,2.2389,0.2268,1121.91
sdpa,1024,4,3,2.2375,0.2271,1121.91
sdpa,1024,4,4,2.2363,0.227,1121.91
sdpa,1024,4,5,2.2383,0.227,1121.91
