implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
eager,512,1,32,1,0.5555,0.0908,1539.54
eager,512,1,32,2,0.5537,0.0917,1539.54
eager,512,1,32,3,0.5534,0.0918,1539.54
eager,512,1,32,4,0.554,0.0916,1539.54
eager,512,1,32,5,0.5546,0.0916,1539.54
eager,512,1,64,1,1.0385,0.0909,1539.54
eager,512,1,64,2,1.0346,0.0915,1539.54
eager,512,1,64,3,1.0355,0.0916,1539.54
eager,512,1,64,4,1.0341,0.0918,1539.54
eager,512,1,64,5,1.0355,0.0922,1539.54
eager,512,1,128,1,2.0143,0.0909,1539.54
eager,512,1,128,2,2.0173,0.0916,1539.54
eager,512,1,128,3,2.0153,0.0916,1539.54
eager,512,1,128,4,2.0132,0.0917,1539.54
eager,512,1,128,5,2.015,0.0917,1539.54
eager,512,1,256,1,4.0406,0.091,1539.54
eager,512,1,256,2,4.0399,0.0919,1539.54
eager,512,1,256,3,4.046,0.0919,1539.54
eager,512,1,256,4,4.0476,0.0917,1539.54
eager,512,1,256,5,4.0429,0.0917,1539.54
sdpa,512,1,32,1,0.4722,0.069,1529.85
sdpa,512,1,32,2,0.4695,0.0697,1529.86
sdpa,512,1,32,3,0.4705,0.0701,1529.86
sdpa,512,1,32,4,0.4699,0.0702,1529.86
sdpa,512,1,32,5,0.471,0.0704,1529.86
sdpa,512,1,64,1,0.8875,0.0691,1529.85
sdpa,512,1,64,2,0.8854,0.0703,1529.86
sdpa,512,1,64,3,0.886,0.0703,1529.86
sdpa,512,1,64,4,0.8858,0.0702,1529.86
sdpa,512,1,64,5,0.8967,0.0702,1529.86
sdpa,512,1,128,1,1.7236,0.0689,1529.85
sdpa,512,1,128,2,1.7261,0.0699,1529.86
sdpa,512,1,128,3,1.7235,0.0699,1529.86
sdpa,512,1,128,4,1.7228,0.0701,1529.86
sdpa,512,1,128,5,1.7221,0.0703,1529.86
sdpa,512,1,256,1,3.4243,0.0688,1531.37
sdpa,512,1,256,2,3.4407,0.0701,1531.38
sdpa,512,1,256,3,3.4231,0.0703,1531.38
sdpa,512,1,256,4,3.4284,0.0702,1531.38
sdpa,512,1,256,5,3.4283,0.0701,1531.38
