dtype,implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
float16,eager,256,1,128,1,1.7823,0.0404,1488.19
float16,eager,256,1,128,2,1.7834,0.0408,1488.19
float16,eager,256,1,128,3,1.7786,0.0412,1488.19
float16,eager,256,1,128,4,1.7848,0.0413,1488.19
float16,eager,256,1,128,5,1.7794,0.0417,1488.19
float16,eager,512,1,128,1,2.0163,0.0909,1539.54
float16,eager,512,1,128,2,2.0173,0.0917,1539.54
float16,eager,512,1,128,3,2.0157,0.0918,1539.54
float16,eager,512,1,128,4,2.0151,0.0918,1539.54
float16,eager,512,1,128,5,2.0142,0.0919,1539.54
float16,eager,1024,1,128,1,2.511,0.2224,1702.31
float16,eager,1024,1,128,2,2.506,0.2234,1702.31
float16,eager,1024,1,128,3,2.5064,0.2233,1702.31
float16,eager,1024,1,128,4,2.5074,0.2231,1702.31
float16,eager,1024,1,128,5,2.5068,0.2234,1702.31
bfloat16,eager,256,1,128,1,1.7959,0.0422,1488.2
bfloat16,eager,256,1,128,2,1.7962,0.0427,1488.21
bfloat16,eager,256,1,128,3,1.7967,0.043,1488.21
bfloat16,eager,256,1,128,4,1.7945,0.0433,1488.21
bfloat16,eager,256,1,128,5,1.7938,0.0431,1488.21
bfloat16,eager,512,1,128,1,2.0338,0.1,1547.54
bfloat16,eager,512,1,128,2,2.0333,0.1008,1547.54
bfloat16,eager,512,1,128,3,2.034,0.101,1547.54
bfloat16,eager,512,1,128,4,2.0343,0.1011,1547.54
bfloat16,eager,512,1,128,5,2.0355,0.101,1547.54
bfloat16,eager,1024,1,128,1,2.5539,0.2455,1734.31
bfloat16,eager,1024,1,128,2,2.5512,0.2462,1734.31
bfloat16,eager,1024,1,128,3,2.5494,0.2466,1734.31
bfloat16,eager,1024,1,128,4,2.5484,0.2468,1734.31
bfloat16,eager,1024,1,128,5,2.5485,0.2467,1734.31
