decode_strategy,implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
greedy,eager,512,1,128,1,2.0168,0.091,1539.54
greedy,eager,512,1,128,2,2.0157,0.0918,1539.54
greedy,eager,512,1,128,3,2.0156,0.0917,1539.54
greedy,eager,512,1,128,4,2.0139,0.0918,1539.54
greedy,eager,512,1,128,5,2.0144,0.0923,1539.54
sample_t0.7_topk50,eager,512,1,128,1,2.0741,0.0912,1539.54
sample_t0.7_topk50,eager,512,1,128,2,2.0722,0.092,1539.54
sample_t0.7_topk50,eager,512,1,128,3,2.0708,0.0922,1539.54
sample_t0.7_topk50,eager,512,1,128,4,2.0754,0.0922,1539.54
sample_t0.7_topk50,eager,512,1,128,5,2.0709,0.0921,1539.54
sample_t1.0_topp0.9,eager,512,1,128,1,2.0716,0.0913,1539.54
sample_t1.0_topp0.9,eager,512,1,128,2,2.0692,0.0921,1539.54
sample_t1.0_topp0.9,eager,512,1,128,3,2.0696,0.0924,1539.54
sample_t1.0_topp0.9,eager,512,1,128,4,2.0698,0.0925,1539.54
sample_t1.0_topp0.9,eager,512,1,128,5,2.0699,0.0923,1539.54
greedy,sdpa,512,1,128,1,1.7258,0.0688,1529.85
greedy,sdpa,512,1,128,2,1.7231,0.0699,1529.86
greedy,sdpa,512,1,128,3,1.7239,0.07,1529.86
greedy,sdpa,512,1,128,4,1.7232,0.0701,1529.86
greedy,sdpa,512,1,128,5,1.7223,0.0704,1529.86
sample_t0.7_topk50,sdpa,512,1,128,1,1.7814,0.0692,1533.54
sample_t0.7_topk50,sdpa,512,1,128,2,1.779,0.0701,1533.55
sample_t0.7_topk50,sdpa,512,1,128,3,1.7807,0.0703,1533.55
sample_t0.7_topk50,sdpa,512,1,128,4,1.7797,0.0703,1533.55
sample_t0.7_topk50,sdpa,512,1,128,5,1.7788,0.0704,1533.55
sample_t1.0_topp0.9,sdpa,512,1,128,1,1.7798,0.0693,1533.54
sample_t1.0_topp0.9,sdpa,512,1,128,2,1.7779,0.0702,1533.55
sample_t1.0_topp0.9,sdpa,512,1,128,3,1.7786,0.0705,1533.55
sample_t1.0_topp0.9,sdpa,512,1,128,4,1.7787,0.0704,1533.55
sample_t1.0_topp0.9,sdpa,512,1,128,5,1.7784,0.0705,1533.55
