backend,seq_len,num_query_heads,num_kv_heads,head_dim,run,latency_ms,peak_memory_mb
flash,256,16,8,128,1,0.0642,11.14
flash,256,16,8,128,2,0.062,11.14
flash,256,16,8,128,3,0.0606,11.14
flash,256,16,8,128,4,0.0634,11.14
flash,256,16,8,128,5,0.0571,11.14
math,256,16,8,128,1,0.6186,29.38
math,256,16,8,128,2,0.6186,29.38
math,256,16,8,128,3,0.6178,29.38
math,256,16,8,128,4,0.6275,29.38
math,256,16,8,128,5,0.6171,29.38
flash,512,16,8,128,1,0.1175,14.16
flash,512,16,8,128,2,0.1198,14.16
flash,512,16,8,128,3,0.1229,14.16
flash,512,16,8,128,4,0.1172,14.16
flash,512,16,8,128,5,0.1159,14.16
math,512,16,8,128,1,2.0373,69.13
math,512,16,8,128,2,2.0086,69.13
math,512,16,8,128,3,2.0093,69.13
math,512,16,8,128,4,2.0171,69.13
math,512,16,8,128,5,2.0144,69.13
flash,1024,16,8,128,1,0.3577,20.19
flash,1024,16,8,128,2,0.3398,20.19
flash,1024,16,8,128,3,0.3436,20.19
flash,1024,16,8,128,4,0.3372,20.19
flash,1024,16,8,128,5,0.3433,20.19
math,1024,16,8,128,1,7.2402,204.14
math,1024,16,8,128,2,7.2023,204.14
math,1024,16,8,128,3,7.2029,204.14
math,1024,16,8,128,4,7.2101,204.14
math,1024,16,8,128,5,7.2049,204.14
flash,2048,16,8,128,1,1.2213,32.25
flash,2048,16,8,128,2,1.2279,32.25
flash,2048,16,8,128,3,1.2217,32.25
flash,2048,16,8,128,4,1.2364,32.25
flash,2048,16,8,128,5,1.2168,32.25
math,2048,16,8,128,1,27.1184,696.16
math,2048,16,8,128,2,27.0558,696.16
math,2048,16,8,128,3,27.0454,696.16
math,2048,16,8,128,4,27.0385,696.16
math,2048,16,8,128,5,27.0325,696.16
