backend,seq_len,max_new_tokens,median_latency_s,median_ttft_s,decode_time_s,median_tokens_per_sec,decode_tokens_per_sec,median_peak_memory_mb,num_runs
flash,512,32,0.5303,0.0714,0.4589,60.34,69.73,1532.9,3
mem_efficient,512,32,0.5307,0.0731,0.4576,60.29,69.93,1532.88,3
math,512,32,0.7426,0.1246,0.618,43.09,51.78,1560.05,3
flash,512,64,1.0159,0.0719,0.944,63.0,67.8,1532.9,3
mem_efficient,512,64,1.0039,0.0734,0.9305,63.75,68.78,1532.88,3
math,512,64,1.3954,0.1243,1.2711,45.87,50.35,1560.05,3
flash,512,128,1.9785,0.0717,1.9068,64.7,67.13,1532.9,3
mem_efficient,512,128,1.9645,0.073,1.8915,65.16,67.67,1532.88,3
math,512,128,2.7443,0.1245,2.6198,46.64,48.86,1560.05,3
flash,512,256,3.9782,0.0717,3.9065,64.35,65.53,1535.82,3
mem_efficient,512,256,3.9564,0.073,3.8834,64.71,65.92,1535.8,3
math,512,256,5.6157,0.1242,5.4915,45.59,46.62,1560.05,3
