backend,seq_len,batch_size,median_latency_s,median_ttft_s,decode_time_s,decode_tokens_per_sec,median_peak_memory_mb,max_new_tokens,num_runs
flash,512,1,1.9797,0.0718,1.9079,67.09,1532.9,128,3
mem_efficient,512,1,1.9729,0.0731,1.8998,67.38,1532.88,128,3
math,512,1,2.7742,0.1246,2.6496,48.31,1560.05,128,3
flash,512,2,2.552,0.1417,2.4103,106.21,1593.64,128,3
mem_efficient,512,2,2.523,0.1441,2.3789,107.61,1593.64,128,3
math,512,2,3.9918,0.2486,3.7432,68.39,1677.33,128,3
flash,512,4,3.5829,0.2648,3.3181,154.31,1744.96,128,3
mem_efficient,512,4,3.4944,0.2698,3.2246,158.78,1744.96,128,3
math,512,4,6.5687,0.4743,6.0944,84.01,1911.88,128,3
flash,1024,1,2.4015,0.1456,2.2559,56.74,1580.37,128,3
mem_efficient,1024,1,2.404,0.1503,2.2537,56.8,1580.35,128,3
math,1024,1,3.9025,0.3364,3.5661,35.89,1752.33,128,3
flash,1024,2,3.4659,0.2724,3.1935,80.16,1718.85,128,3
mem_efficient,1024,2,3.3732,0.282,3.0912,82.82,1718.85,128,3
math,1024,2,6.2681,0.6526,5.6155,45.59,2058.89,128,3
flash,1024,4,5.4195,0.5304,4.8891,104.72,1995.93,128,3
mem_efficient,1024,4,5.2002,0.5501,4.6501,110.11,1995.93,128,3
math,1024,4,10.9466,1.2852,9.6614,52.99,2672.0,128,3
