backend,seq_len,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,256,64,1,0.8122,0.0342,1478.13
flash,256,64,2,0.81,0.0343,1478.13
flash,256,64,3,0.8165,0.0352,1478.13
flash,256,64,4,0.8096,0.0351,1478.13
flash,256,64,5,0.815,0.0347,1478.13
math,256,64,1,1.0757,0.05,1491.66
math,256,64,2,1.0738,0.0506,1491.66
math,256,64,3,1.0758,0.051,1491.66
math,256,64,4,1.0732,0.0506,1491.66
math,256,64,5,1.0757,0.0506,1491.66
flash,512,64,1,0.9807,0.068,1529.85
flash,512,64,2,0.8802,0.0692,1529.85
flash,512,64,3,0.882,0.0693,1529.85
flash,512,64,4,0.8819,0.0694,1529.85
flash,512,64,5,0.8822,0.0695,1529.85
math,512,64,1,1.3864,0.1227,1560.04
math,512,64,2,1.3862,0.1232,1560.04
math,512,64,3,1.3886,0.1237,1560.04
math,512,64,4,1.3857,0.1233,1560.04
math,512,64,5,1.3847,0.1233,1560.04
flash,1024,64,1,1.0324,0.1391,1580.31
flash,1024,64,2,1.0295,0.1403,1580.31
flash,1024,64,3,1.0338,0.1404,1580.31
flash,1024,64,4,1.0293,0.1404,1580.31
flash,1024,64,5,1.0322,0.1406,1580.31
math,1024,64,1,2.0933,0.3334,1752.32
math,1024,64,2,2.092,0.3339,1752.32
math,1024,64,3,2.0931,0.3344,1752.32
math,1024,64,4,2.0945,0.3342,1752.32
math,1024,64,5,2.0934,0.3343,1752.32
flash,1800,64,1,1.2539,0.2484,1686.98
flash,1800,64,2,1.2506,0.2504,1686.98
flash,1800,64,3,1.2572,0.2503,1686.98
flash,1800,64,4,1.2512,0.2512,1686.98
flash,1800,64,5,1.2507,0.2507,1686.98
math,1800,64,1,3.4473,0.8268,2187.06
math,1800,64,2,3.4429,0.8277,2187.06
math,1800,64,3,3.4431,0.8274,2187.06
math,1800,64,4,3.4428,0.8277,2187.06
math,1800,64,5,3.444,0.8279,2187.06
