backend,config,seq_len,median_latency_ms,std_latency_ms,median_peak_memory_mb,num_heads,head_dim
flash,H8_D64,256,0.039,0.006,1.01,8,64
mem_efficient,H8_D64,256,0.04,0.003,1.0,8,64
math,H8_D64,256,0.297,0.01,15.63,8,64
flash,H8_D64,512,0.07,0.003,10.14,8,64
mem_efficient,H8_D64,512,0.074,0.004,10.12,8,64
math,H8_D64,512,0.946,0.001,32.63,8,64
flash,H8_D64,1024,0.169,0.009,12.16,8,64
mem_efficient,H8_D64,1024,0.178,0.006,12.12,8,64
math,H8_D64,1024,3.365,0.006,95.13,8,64
flash,H8_D64,2048,0.486,0.016,16.19,8,64
mem_efficient,H8_D64,2048,0.54,0.017,16.12,8,64
math,H8_D64,2048,12.975,0.114,334.14,8,64
flash,H16_D64,256,0.059,0.007,10.14,16,64
mem_efficient,H16_D64,256,0.051,0.003,10.12,16,64
math,H16_D64,256,0.524,0.002,22.88,16,64
flash,H16_D64,512,0.108,0.003,12.16,16,64
mem_efficient,H16_D64,512,0.106,0.005,12.12,16,64
math,H16_D64,512,1.789,0.002,56.13,16,64
flash,H16_D64,1024,0.275,0.009,16.19,16,64
mem_efficient,H16_D64,1024,0.285,0.013,16.12,16,64
math,H16_D64,1024,6.553,0.006,178.14,16,64
flash,H16_D64,2048,0.857,0.016,24.25,16,64
mem_efficient,H16_D64,2048,0.959,0.024,24.12,16,64
math,H16_D64,2048,24.497,0.024,644.16,16,64
flash,H32_D64,256,0.075,0.003,12.16,32,64
mem_efficient,H32_D64,256,0.066,0.001,12.12,32,64
math,H32_D64,256,0.918,0.091,37.38,32,64
flash,H32_D64,512,0.141,0.003,16.19,32,64
mem_efficient,H32_D64,512,0.131,0.003,16.12,32,64
math,H32_D64,512,3.337,0.004,103.14,32,64
flash,H32_D64,1024,0.368,0.008,24.25,32,64
mem_efficient,H32_D64,1024,0.416,0.005,24.12,32,64
math,H32_D64,1024,12.4,0.013,344.16,32,64
flash,H32_D64,2048,1.224,0.014,40.38,32,64
mem_efficient,H32_D64,2048,1.486,0.013,40.12,32,64
math,H32_D64,2048,48.47,0.049,1264.19,32,64
flash,H16_D128,256,0.077,0.005,12.14,16,128
mem_efficient,H16_D128,256,0.073,0.002,12.12,16,128
math,H16_D128,256,0.71,0.002,28.38,16,128
flash,H16_D128,512,0.185,0.004,16.16,16,128
mem_efficient,H16_D128,512,0.171,0.0,16.12,16,128
math,H16_D128,512,1.957,0.003,67.13,16,128
flash,H16_D128,1024,0.351,0.004,24.19,16,128
mem_efficient,H16_D128,1024,0.512,0.003,24.12,16,128
math,H16_D128,1024,7.047,0.011,200.14,16,128
flash,H16_D128,2048,1.221,0.012,40.25,16,128
mem_efficient,H16_D128,2048,1.84,0.003,40.12,16,128
math,H16_D128,2048,26.619,0.008,688.16,16,128
flash,H32_D128,256,0.13,0.002,16.16,32,128
mem_efficient,H32_D128,256,0.119,0.002,16.12,32,128
math,H32_D128,256,1.136,0.132,48.38,32,128
flash,H32_D128,512,0.223,0.002,24.19,32,128
mem_efficient,H32_D128,512,0.307,0.005,24.12,32,128
math,H32_D128,512,3.842,0.005,125.14,32,128
flash,H32_D128,1024,0.656,0.004,40.25,32,128
mem_efficient,H32_D128,1024,0.997,0.001,40.12,32,128
math,H32_D128,1024,13.881,0.015,388.16,32,128
flash,H32_D128,2048,2.366,0.011,72.38,32,128
mem_efficient,H32_D128,2048,3.667,0.009,72.12,32,128
math,H32_D128,2048,52.699,0.014,1352.19,32,128
