backend,cache_len,median_prefill_s,median_per_token_decode_ms,total_decode_s,decode_tokens,num_runs
flash,256,0.0373,43.883,0.6582,16,3
mem_efficient,256,0.0357,42.993,0.6449,16,3
math,256,0.051,60.321,0.9048,16,3
flash,512,0.071,76.009,1.1401,16,3
mem_efficient,512,0.0723,77.809,1.1671,16,3
math,512,0.1236,134.05,2.0108,16,3
flash,768,0.1062,107.11,1.6067,16,3
mem_efficient,768,0.1082,110.446,1.6567,16,3
math,768,0.2166,226.176,3.3926,16,3
flash,1024,0.1444,144.292,2.1644,16,3
mem_efficient,1024,0.149,149.661,2.2449,16,3
math,1024,0.3354,344.707,5.1706,16,3
flash,1536,0.2137,217.323,3.2598,16,3
mem_efficient,1536,0.2238,228.24,3.4236,16,3
math,1536,0.6229,643.954,9.6593,16,3
flash,1800,0.2568,257.323,3.8599,16,3
mem_efficient,1800,0.2712,271.987,4.0798,16,3
math,1800,0.8287,834.619,12.5193,16,3
