backend,kv_len,median_latency_ms,median_peak_memory_mb,theoretical_kv_cache_mb,theoretical_attn_matrix_mb,num_runs
flash,256,0.075,11.15,56.0,0.0156,3
mem_efficient,256,0.066,11.13,56.0,0.0156,3
math,256,0.169,17.16,56.0,0.0156,3
flash,512,0.107,14.15,112.0,0.0312,3
mem_efficient,512,0.102,14.13,112.0,0.0312,3
math,512,0.289,26.18,112.0,0.0312,3
flash,1024,0.176,20.15,224.0,0.0625,3
mem_efficient,1024,0.173,20.13,224.0,0.0625,3
math,1024,0.527,44.21,224.0,0.0625,3
flash,1536,0.245,26.15,336.0,0.0938,3
mem_efficient,1536,0.246,26.13,336.0,0.0938,3
math,1536,0.777,62.24,336.0,0.0938,3
flash,2048,0.312,32.15,448.0,0.125,3
mem_efficient,2048,0.313,32.13,448.0,0.125,3
math,2048,1.008,80.27,448.0,0.125,3
