backend,kv_len,fp16_ms,fp32_ms,fp32_fp16_ratio,diagnosis,fp16_mem_mb,fp32_mem_mb
mem_efficient,128,0.028,0.05,1.79,MEMORY-BOUND,0.5,9.13
math,128,0.101,0.069,0.68,COMPUTE-BOUND,10.14,9.64
mem_efficient,256,0.034,0.08,2.35,MEMORY-BOUND,9.13,10.13
math,256,0.099,0.068,0.69,COMPUTE-BOUND,12.15,11.15
mem_efficient,512,0.052,0.137,2.63,MEMORY-BOUND,10.13,12.13
math,512,0.149,0.096,0.64,COMPUTE-BOUND,16.17,14.16
mem_efficient,1024,0.084,0.249,2.96,MEMORY-BOUND,12.13,16.13
math,1024,0.253,0.155,0.61,COMPUTE-BOUND,24.2,20.2
mem_efficient,1536,0.115,0.363,3.16,MEMORY-BOUND,14.13,20.13
math,1536,0.353,0.213,0.6,COMPUTE-BOUND,32.23,26.23
mem_efficient,2048,0.145,0.476,3.28,MEMORY-BOUND,16.13,24.13
math,2048,0.451,0.27,0.6,COMPUTE-BOUND,40.26,32.26
